run,run_code,run_name_cn,combo,threshold_group,applied_threshold,acc,auc,f1,sen,spe,bal_acc,tn,fp,fn,tp,auc_warning,num_hyperedges,use_anatomy_edges,use_prototype_edges,use_mask_aware_classifier,mask_head_type,mask_order,use_mask_aware_node_fusion,use_node_type_embed,no_t1ce_t1_penalty,threshold,avg_gate_t1,avg_gate_t1ce,avg_gate_t2,avg_gate_flair,core_avg_gate_t1,core_avg_gate_t1ce,core_avg_gate_t2,core_avg_gate_flair,boundary_avg_gate_t1,boundary_avg_gate_t1ce,boundary_avg_gate_t2,boundary_avg_gate_flair,peri_inner_avg_gate_t1,peri_inner_avg_gate_t1ce,peri_inner_avg_gate_t2,peri_inner_avg_gate_flair,peri_outer_avg_gate_t1,peri_outer_avg_gate_t1ce,peri_outer_avg_gate_t2,peri_outer_avg_gate_flair,distal_normal_avg_gate_t1,distal_normal_avg_gate_t1ce,distal_normal_avg_gate_t2,distal_normal_avg_gate_flair
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t2,no_t1ce_no_t1,0.2164999999999999,0.7837837837837838,0.6422413793103448,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.2164999999999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t1ce,has_t1ce,0.4999999999999999,0.8648648648648649,0.7629310344827587,0.9206349206349206,1.0,0.375,0.6875,3,5,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t1,no_t1ce_with_t1,0.194,0.7837837837837838,0.4008620689655172,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,flair,no_t1ce_no_t1,0.2164999999999999,0.7297297297297297,0.7198275862068966,0.8333333333333334,0.8620689655172413,0.25,0.5560344827586207,2,6,4,25,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.2164999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t2_t1ce,has_t1ce,0.4999999999999999,0.8648648648648649,0.7586206896551724,0.918032786885246,0.9655172413793104,0.5,0.7327586206896552,4,4,1,28,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,0.9473607511058248,0.0526392596299102,0.0,0.0,0.8974852940143162,0.1025147143334838,0.0,0.0,0.9343115630987529,0.0656884507158793,0.0,0.0,0.9537809257571762,0.0462190884636611,0.0,0.0,0.96313405600754,0.0368659508809041,0.0,0.0,0.9880919166513392,0.0119080937556229,0.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t2_t1,no_t1ce_with_t1,0.194,0.7837837837837838,0.6508620689655172,0.8787878787878788,1.0,0.0,0.5,0,8,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,0.6490830805756755,0.0,0.3509169278515351,0.0,0.3448495913699672,0.0,0.655150405861236,0.0,0.5849465357290732,0.0,0.4150534811857584,0.0,0.7162386122587565,0.0,0.2837614002260002,0.0,0.7700988549638439,0.0,0.2299011551045082,0.0,0.8292818085567372,0.0,0.170718196880173,0.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t2_flair,no_t1ce_no_t1,0.2164999999999999,0.6756756756756757,0.7112068965517242,0.7692307692307693,0.6896551724137931,0.625,0.6573275862068966,5,3,9,20,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.2164999999999999,0.0,0.0,0.2634807109816859,0.7365192986118633,0.0,0.0,0.8012288228507984,0.1987711896465437,0.0,0.0,0.3359944178326357,0.6640055968954757,0.0,0.0,0.129873641568977,0.8701263698371681,0.0,0.0,0.0493360051366687,0.9506640015421688,0.0,0.0,0.0009706675193495,0.99902933513796
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t1ce_t1,has_t1ce,0.4999999999999999,0.8648648648648649,0.7586206896551724,0.9206349206349206,1.0,0.375,0.6875,3,5,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0896831004226314,0.910316908480348,0.0,0.0,0.097219550625157,0.9027804569215389,0.0,0.0,0.0802148605358184,0.9197851508050352,0.0,0.0,0.0980579053066809,0.9019421012820424,0.0,0.0,0.0990050699807832,0.9009949363566734,0.0,0.0,0.0739181156647175,0.9260818970364492,0.0,0.0
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t1ce_flair,has_t1ce,0.4999999999999999,0.918918918918919,0.7586206896551724,0.9508196721311476,1.0,0.625,0.8125,5,3,0,29,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.4999999999999999,0.0,0.806152928964651,0.0,0.1938470805231437,0.0,0.9364006426688788,0.0,0.0635993712274297,0.0,0.9346432285131636,0.0,0.0653567791302375,0.0,0.8823086629948906,0.0,0.1176913439334823,0.0,0.7880151623205559,0.0,0.2119848454374032,0.0,0.4893969483257663,0.0,0.5106030628871661
no_t1ce_focus_seed42,NF,无 T1ce 定向微调,t1_flair,no_t1ce_with_t1,0.194,0.7027027027027027,0.7025862068965517,0.8253968253968254,0.896551724137931,0.0,0.4482758620689655,0,8,3,26,,5.0,1.0,0.0,True,bias,"t1,t1ce,t2,flair",True,True,1.0,0.194,0.3026129312397489,0.0,0.0,0.6973870740146251,0.7437867903075105,0.0,0.0,0.2562132073012558,0.3918588088158317,0.0,0.0,0.6081412007679811,0.237014067013169,0.0,0.0,0.7629859395123817,0.1355758655284975,0.0,0.0,0.8644241376503093,0.0048291245337358,0.0,0.0,0.9951708848411972
